,SA2 Name,1-149(75),150-299(225),300-399(350),400-499(450),500-649(575),650-799(725),800-999(900),"1,000-1,249(1,125)","1,250-1,499(1,375)","1,500-1,749(1,625)","1,750-1,999(1875)","2,000-2,499(2,250)","2,500-2,999(2,750)","3,000-3,499(3,250)","3,500-3,999(3,750)","4,000-4,499(4,250)","4,500-4,999(4,750)","5,000-5,999 (5,500)","6,000-7,999(7000)","8,000 or more(8000)",Total
52,Greenwood - Warwick,12.0,28.0,21.0,72.0,79.0,214.0,185.0,316.0,242.0,221.0,247.0,444.0,399.0,280.0,166.0,86.0,87.0,59.0,28.0,0.0,3186.0
53,Heathridge - Connolly,10.0,14.0,12.0,39.0,61.0,152.0,140.0,181.0,179.0,184.0,157.0,376.0,324.0,182.0,141.0,83.0,65.0,55.0,21.0,3.0,2379.0
54,Hillarys,14.0,18.0,10.0,37.0,35.0,115.0,115.0,173.0,143.0,125.0,130.0,331.0,260.0,219.0,246.0,180.0,175.0,145.0,109.0,23.0,2603.0
55,Iluka - Burns Beach,15.0,8.0,7.0,15.0,15.0,65.0,55.0,70.0,92.0,80.0,85.0,247.0,229.0,211.0,235.0,141.0,164.0,166.0,98.0,7.0,2005.0
56,Joondalup - Edgewater,8.0,16.0,22.0,78.0,75.0,164.0,169.0,247.0,222.0,185.0,223.0,462.0,345.0,220.0,163.0,91.0,99.0,66.0,28.0,3.0,2886.0
57,Kingsley,15.0,18.0,9.0,53.0,52.0,193.0,150.0,211.0,246.0,179.0,200.0,460.0,380.0,269.0,228.0,139.0,112.0,88.0,58.0,4.0,3064.0
58,Mullaloo - Kallaroo,10.0,19.0,11.0,43.0,44.0,150.0,120.0,184.0,149.0,148.0,152.0,401.0,260.0,207.0,188.0,125.0,143.0,118.0,71.0,6.0,2549.0
59,Ocean Reef,5.0,5.0,11.0,27.0,31.0,80.0,86.0,110.0,113.0,97.0,88.0,255.0,211.0,158.0,160.0,124.0,94.0,80.0,56.0,13.0,1804.0
60,Padbury,13.0,15.0,16.0,41.0,41.0,115.0,100.0,156.0,155.0,130.0,151.0,329.0,223.0,155.0,110.0,66.0,66.0,40.0,18.0,0.0,1940.0
61,Sorrento - Marmion,8.0,3.0,3.0,40.0,32.0,102.0,110.0,155.0,121.0,118.0,115.0,232.0,238.0,184.0,190.0,165.0,167.0,147.0,141.0,21.0,2292.0
62,Woodvale,8.0,19.0,11.0,41.0,32.0,110.0,103.0,139.0,127.0,130.0,120.0,319.0,284.0,210.0,176.0,129.0,132.0,92.0,46.0,3.0,2231.0
63,Balcatta - Hamersley,15.0,15.0,12.0,110.0,85.0,322.0,240.0,292.0,312.0,225.0,237.0,519.0,353.0,269.0,130.0,102.0,82.0,55.0,29.0,0.0,3404.0
64,Balga - Mirrabooka,27.0,63.0,67.0,182.0,231.0,399.0,375.0,445.0,408.0,343.0,287.0,442.0,213.0,111.0,41.0,26.0,17.0,14.0,3.0,0.0,3694.0
65,Dianella,27.0,45.0,37.0,137.0,161.0,435.0,335.0,421.0,426.0,321.0,308.0,700.0,510.0,357.0,305.0,193.0,177.0,170.0,132.0,29.0,5226.0
67,Innaloo - Doubleview,22.0,27.0,28.0,77.0,69.0,172.0,161.0,217.0,203.0,192.0,204.0,493.0,411.0,335.0,301.0,169.0,168.0,176.0,99.0,0.0,3524.0
68,Karrinyup - Gwelup - Carine,25.0,25.0,13.0,66.0,84.0,228.0,210.0,294.0,272.0,235.0,239.0,641.0,464.0,415.0,425.0,297.0,328.0,302.0,188.0,10.0,4761.0
69,Nollamara - Westminster,24.0,42.0,38.0,144.0,128.0,330.0,277.0,345.0,335.0,296.0,293.0,572.0,346.0,181.0,96.0,45.0,41.0,22.0,10.0,3.0,3568.0
71,Scarborough,19.0,22.0,23.0,51.0,74.0,132.0,133.0,211.0,171.0,176.0,196.0,483.0,386.0,321.0,256.0,139.0,167.0,132.0,120.0,3.0,3215.0
72,Stirling - Osborne Park,24.0,26.0,20.0,92.0,65.0,200.0,142.0,221.0,209.0,178.0,199.0,384.0,333.0,208.0,190.0,140.0,131.0,105.0,107.0,13.0,2987.0
73,Trigg - North Beach - Watermans Bay,9.0,13.0,8.0,24.0,38.0,89.0,81.0,107.0,100.0,72.0,89.0,224.0,140.0,156.0,130.0,80.0,121.0,96.0,118.0,15.0,1710.0
74,Tuart Hill - Joondanna,17.0,27.0,26.0,69.0,68.0,157.0,122.0,208.0,206.0,157.0,157.0,332.0,279.0,185.0,159.0,64.0,88.0,64.0,42.0,0.0,2427.0
75,Wembley Downs - Churchlands - Woodlands,23.0,24.0,8.0,49.0,48.0,143.0,141.0,190.0,230.0,143.0,180.0,323.0,293.0,237.0,265.0,231.0,212.0,225.0,178.0,26.0,3169.0
76,Yokine - Coolbinia - Menora,18.0,23.0,22.0,101.0,105.0,209.0,188.0,280.0,234.0,171.0,186.0,426.0,287.0,230.0,224.0,148.0,166.0,134.0,148.0,27.0,3327.0
77,Alexander Heights - Koondoola,16.0,27.0,26.0,97.0,85.0,198.0,190.0,246.0,232.0,200.0,199.0,362.0,205.0,135.0,66.0,28.0,34.0,21.0,5.0,4.0,2376.0
78,Butler - Merriwa - Ridgewood,16.0,54.0,64.0,150.0,201.0,432.0,340.0,436.0,447.0,412.0,398.0,811.0,487.0,244.0,149.0,77.0,59.0,39.0,19.0,3.0,4838.0
79,Carramar,17.0,23.0,30.0,62.0,84.0,167.0,181.0,247.0,331.0,281.0,297.0,717.0,470.0,281.0,190.0,81.0,72.0,67.0,19.0,4.0,3621.0
80,Clarkson,14.0,33.0,22.0,72.0,127.0,160.0,174.0,246.0,249.0,242.0,227.0,505.0,316.0,167.0,115.0,52.0,44.0,32.0,11.0,0.0,2808.0
81,Girrawheen,15.0,38.0,29.0,87.0,86.0,195.0,159.0,205.0,189.0,157.0,119.0,188.0,89.0,49.0,23.0,13.0,14.0,8.0,0.0,0.0,1663.0
82,Madeley - Darch - Landsdale,26.0,37.0,30.0,72.0,126.0,237.0,244.0,315.0,360.0,371.0,439.0,977.0,759.0,550.0,364.0,234.0,186.0,137.0,63.0,4.0,5531.0
83,Marangaroo,15.0,31.0,28.0,64.0,67.0,199.0,136.0,208.0,220.0,176.0,181.0,316.0,209.0,115.0,71.0,27.0,18.0,23.0,8.0,3.0,2115.0
84,Mindarie - Quinns Rocks - Jindalee,18.0,29.0,25.0,75.0,99.0,224.0,188.0,245.0,273.0,236.0,283.0,638.0,489.0,364.0,291.0,194.0,182.0,147.0,97.0,15.0,4112.0
