,SA2 Name,1-149,150-299,300-449,450-599,600-799,800-999,"1,000-1,199","1,200-1,399","1,400-1,599","1,600-1,799","1,800-1,999","2,000-2,199","2,200-2,399","2,400-2,599","2,600-2,999","3,000-3,999","4,000-4,999","5,000 and over",Total,Median
111,Serpentine - Jarrahdale,9.0,0.0,9.0,9.0,19.0,19.0,29.0,44.0,38.0,55.0,39.0,72.0,35.0,19.0,65.0,97.0,34.0,19.0,611.0,2100.0
112,Como,14.0,16.0,22.0,19.0,45.0,62.0,64.0,96.0,103.0,98.0,87.0,190.0,65.0,72.0,143.0,248.0,121.0,98.0,1563.0,2164.2105263157896
113,Manning - Waterford,21.0,12.0,19.0,26.0,26.0,33.0,45.0,49.0,53.0,47.0,38.0,101.0,46.0,29.0,82.0,226.0,123.0,112.0,1088.0,2596.551724137931
114,South Perth - Kensington,17.0,23.0,27.0,26.0,40.0,65.0,72.0,79.0,81.0,80.0,60.0,157.0,57.0,67.0,105.0,275.0,168.0,217.0,1616.0,2473.134328358209
115,Banjup,12.0,18.0,39.0,39.0,55.0,83.0,134.0,170.0,164.0,219.0,220.0,434.0,242.0,202.0,414.0,445.0,120.0,70.0,3080.0,2178.5714285714284
116,Coogee,14.0,15.0,14.0,23.0,31.0,52.0,39.0,64.0,54.0,68.0,68.0,134.0,70.0,61.0,140.0,223.0,69.0,51.0,1190.0,2255.714285714286
117,Coolbellup,10.0,8.0,36.0,24.0,62.0,69.0,62.0,79.0,79.0,103.0,82.0,156.0,55.0,60.0,110.0,106.0,31.0,19.0,1151.0,1907.3170731707316
118,Hamilton Hill,9.0,9.0,34.0,33.0,43.0,60.0,74.0,77.0,95.0,124.0,108.0,159.0,83.0,43.0,118.0,108.0,27.0,19.0,1223.0,1900.0
119,North Coogee,3.0,0.0,8.0,0.0,5.0,4.0,12.0,9.0,11.0,20.0,16.0,32.0,18.0,17.0,29.0,80.0,55.0,59.0,378.0,3068.75
120,South Lake - Cockburn Central,10.0,16.0,42.0,30.0,69.0,122.0,106.0,157.0,139.0,184.0,134.0,231.0,117.0,70.0,158.0,134.0,41.0,19.0,1779.0,1822.3880597014925
121,Spearwood,13.0,15.0,26.0,20.0,38.0,54.0,69.0,71.0,75.0,93.0,54.0,163.0,61.0,44.0,111.0,132.0,25.0,14.0,1078.0,2014.1104294478528
122,Success - Hammond Park,15.0,11.0,26.0,25.0,38.0,59.0,110.0,144.0,166.0,203.0,188.0,367.0,241.0,194.0,396.0,382.0,84.0,41.0,2690.0,2196.457765667575
123,Yangebup,6.0,9.0,17.0,23.0,40.0,68.0,85.0,118.0,83.0,115.0,94.0,199.0,90.0,53.0,141.0,124.0,36.0,21.0,1322.0,2003.5175879396984
124,Beeliar - Wattleup,9.0,9.0,18.0,16.0,32.0,53.0,45.0,79.0,92.0,109.0,91.0,198.0,86.0,82.0,200.0,240.0,59.0,30.0,1448.0,2173.2323232323233
125,Jandakot,3.0,7.0,7.0,8.0,5.0,15.0,9.0,26.0,15.0,21.0,22.0,38.0,18.0,13.0,29.0,64.0,26.0,14.0,340.0,2171.0526315789475
126,East Fremantle,15.0,10.0,18.0,13.0,15.0,35.0,43.0,43.0,44.0,38.0,37.0,100.0,31.0,28.0,52.0,154.0,120.0,135.0,931.0,2571.4285714285716
127,Fremantle,19.0,20.0,37.0,33.0,46.0,51.0,93.0,72.0,101.0,94.0,62.0,191.0,80.0,70.0,163.0,274.0,131.0,128.0,1665.0,2235.0
128,Fremantle - South,16.0,22.0,29.0,21.0,56.0,77.0,107.0,109.0,121.0,122.0,79.0,180.0,85.0,85.0,200.0,274.0,104.0,62.0,1749.0,2128.8888888888887
129,Bertram - Wellard (West),9.0,4.0,17.0,15.0,31.0,49.0,89.0,147.0,195.0,339.0,365.0,481.0,275.0,186.0,302.0,182.0,47.0,31.0,2764.0,2050.935550935551
130,Calista,13.0,10.0,37.0,30.0,66.0,79.0,92.0,165.0,168.0,164.0,103.0,139.0,35.0,17.0,22.0,24.0,5.0,5.0,1174.0,1513.6904761904761
131,Parmelia - Orelia,19.0,25.0,46.0,48.0,94.0,118.0,149.0,219.0,220.0,249.0,161.0,152.0,57.0,30.0,47.0,38.0,11.0,3.0,1686.0,1514.090909090909
132,Casuarina - Wandi,7.0,7.0,6.0,6.0,14.0,21.0,25.0,43.0,50.0,72.0,87.0,137.0,93.0,94.0,146.0,136.0,50.0,32.0,1026.0,2282.7956989247314
133,Applecross - Ardross,7.0,14.0,28.0,19.0,26.0,23.0,44.0,34.0,41.0,36.0,25.0,102.0,20.0,37.0,62.0,188.0,114.0,216.0,1036.0,3002.659574468085
134,Bateman,6.0,3.0,7.0,7.0,15.0,18.0,18.0,19.0,25.0,17.0,11.0,40.0,19.0,20.0,32.0,77.0,27.0,16.0,377.0,2231.5789473684213
